,Date,Low,High,Price,Open,Vol.
151,1/1/13,145.26,151.49,150.25,145.65,71.80M
150,12/1/12,140.05,145.94,142.94,143.21,101.84M
149,11/1/12,135.06,144.08,142.51,142.04,75.65M
148,10/1/12,140.78,147.56,141.29,144.94,68.61M
147,9/1/12,140.52,148.54,144.2,141.44,71.21M
146,8/1/12,135.96,143.47,141.69,139.08,69.37M
145,7/1/12,132.95,139.69,138.26,136.82,87.44M
144,6/1/12,127.4,136.59,136.56,129.7,81.40M
143,5/1/12,129.82,141.98,131.67,140.07,78.71M
142,4/1/12,136.06,142.51,140.09,140.93,63.43M
141,3/1/12,134.65,142.22,141.02,137.58,71.22M
140,2/1/12,132.42,138.48,137.13,132.59,77.34M
139,1/1/12,126.71,133.67,131.59,128.05,73.90M
138,12/1/11,121.03,127.87,125.79,125.11,77.68M
137,11/1/11,116.48,128.26,125.23,122.25,92.07M
136,10/1/11,107.65,129.67,125.63,112.72,86.17M
135,9/1/11,112.15,123.65,113.53,122.53,87.72M
134,8/1/11,110.51,131.28,122.47,131.13,170.80M
133,7/1/11,128.65,135.98,129.63,132.26,62.07M
132,6/1/11,126.47,134.87,132.24,134.82,68.95M
131,5/1/11,131.66,137.45,135.12,137.43,63.04M
130,4/1/11,129.77,136.84,136.75,133.73,63.09M
129,3/1/11,125.58,134.03,132.83,133.97,66.42M
128,2/1/11,129.71,134.99,133.44,129.76,53.21M
127,1/1/11,126.47,130.65,128.97,127.02,74.98M
126,12/1/10,120.45,126.75,126.08,120.46,56.43M
125,11/1/10,117.84,123.18,118.65,119.27,60.47M
124,10/1/10,113.41,119.98,118.73,115.2,60.07M
123,9/1/10,106.9,116.01,114.33,106.97,62.97M
122,8/1/10,104.49,113.42,105.65,112.22,65.02M
121,7/1/10,101.36,112.51,110.54,103.4,78.16M
120,6/1/10,103.11,113.95,103.32,108.56,117.00M
119,5/1/10,88.3,120.9,109.55,119.59,126.58M
118,4/1/10,117.33,122.33,119.08,118.03,73.27M
117,3/1/10,111.41,118.33,117.18,111.45,81.06M
116,2/1/10,104.76,111.87,110.9,108.4,80.55M
115,1/1/10,107.41,115.33,107.51,112.62,87.02M
114,12/1/09,109.22,113.27,111.66,111.11,75.30M
113,11/1/09,103.28,111.97,110.15,104.26,79.51M
112,10/1/09,102.19,110.6,103.83,105.53,83.55M
111,9/1/09,99.75,108.27,105.86,102.15,68.26M
110,8/1/09,98.3,104.53,102.66,100.01,69.25M
109,7/1/09,87.18,100,99.03,92.48,98.44M
108,6/1/09,89,96.26,92.22,93.77,96.73M
107,5/1/09,86.83,93.34,92.68,87.58,100.61M
106,4/1/09,78.44,89.13,87.57,78.63,117.16M
105,3/1/09,67.13,83.39,79.51,72.53,184.39M
104,2/1/09,73.88,87.82,74.11,81.61,119.33M
103,1/1/09,80.55,94.52,82.86,90.63,111.27M
102,12/1/08,82,92.49,90.19,87.54,180.84M
101,11/1/08,74.4,100.93,90,96.87,193.61M
100,10/1/08,83.67,116.73,97.26,115.21,259.94M
99,9/1/08,110.92,142.8,116.66,130.13,123.04M
98,8/1/08,124.82,131.54,128.76,127.21,46.77M
97,7/1/08,120.09,129.19,126.88,126.6,109.75M
96,6/1/08,127.1,140.85,127.82,139.83,93.38M
95,5/1/08,137.56,144.24,140.2,138.41,73.84M
94,4/1/08,132.38,140.57,138.42,133.73,59.75M
93,3/1/08,126.16,136.52,132.05,133.22,71.60M
92,2/1/08,131.79,139.66,133.57,138,56.20M
91,1/1/08,124.81,147.05,137.35,146.63,78.70M
90,12/1/07,144.08,152.94,146.54,148.19,49.38M
89,11/1/07,140.78,153.46,148.55,153.38,66.32M
88,10/1/07,148.75,157.57,154.92,152.67,64.17M
87,9/1/07,144.33,154.37,152.76,147.49,44.68M
86,8/1/07,137.28,150.56,147.42,145.24,80.71M
85,7/1/07,145.06,155.54,145.51,151,64.11M
84,6/1/07,148.7,154.39,150.3,154.07,52.23M
83,5/1/07,147.67,153.88,153.34,148.55,30.97M
82,4/1/07,141.54,149.82,148.28,142.25,18.89M
81,3/1/07,136.84,144.46,142.15,139.31,36.76M
80,2/1/07,139.27,146.58,141.11,144.3,25.18M
79,1/1/07,140.36,144.22,143.83,142.33,26.63M
78,12/1/06,139.01,143.67,141.81,140.52,26.04M
77,11/1/06,136.24,141.18,140.56,138.25,14.66M
76,10/1/06,132.68,139.01,137.85,133.6,17.03M
75,9/1/06,129.57,134.28,133.57,131.25,17.31M
74,8/1/06,126.39,131.1,130.69,127.48,15.41M
73,7/1/06,122.54,128.2,127.87,127.45,20.57M
72,6/1/06,122.38,129.38,127.38,127.35,31.44M
71,5/1/06,124.82,132.82,127.58,131.57,29.45M
70,4/1/06,128.03,131.88,131.42,130.07,23.65M
69,3/1/06,127.2,131.52,129.74,128.62,24.93M
68,2/1/06,125.23,130.03,128.25,127.77,23.11M
67,1/1/06,124.45,129.45,127.58,125.24,26.45M
66,12/1/05,124.47,127.93,124.5,125.9,30.74M
65,11/1/05,120.02,127.26,125.2,120.43,17.23M
64,10/1/05,116.72,123.15,120.2,122.79,22.54M
63,9/1/05,120.81,124.54,122.83,122.31,14.88M
62,8/1/05,120.21,124.56,122.33,123.68,17.61M
61,7/1/05,118.14,124.46,123.53,119.34,16.68M
60,6/1/05,118.64,122.08,118.95,119.26,13.66M
59,5/1/05,114.54,119.99,119.18,115.8,9.85M
58,4/1/05,113.37,119.02,115.54,118.44,14.91M
57,3/1/05,116.02,123.19,117.66,120.86,16.62M
56,2/1/05,118.05,121.48,120.58,118.29,14.37M
55,1/1/05,116.37,121.73,118.13,121.53,15.54M
54,12/1/04,118.01,122.09,120.83,118.39,17.19M
53,11/1/04,113.1,119.36,118.06,113.42,13.14M
52,10/1/04,109.26,114.52,113.05,112.2,9.31M
51,9/1/04,110.35,113.81,111.65,110.89,7.11M
50,8/1/04,106.49,111.52,111.05,110.08,7.68M
49,7/1/04,108.09,114.27,110.83,114.23,14.11M
48,6/1/04,111.8,115.2,114.41,112.41,10.23M
47,5/1/04,107.98,113.07,112.82,111.31,9.28M
46,4/1/04,110.81,115.29,110.96,113.07,12.98M
45,3/1/04,108.33,116.84,113.07,115.33,14.49M
44,2/1/04,112.72,116.32,114.88,113.58,7.02M
43,1/1/04,110.66,115.84,113.45,111.48,14.39M
42,12/1/03,105.9,111.43,111.07,106.84,16.35M
41,11/1/03,103.6,106.76,106.43,105.77,4.66M
40,10/1/03,100.06,105.74,105.16,100.06,9.10M
39,9/1/03,99.12,104.21,99.76,101.66,8.75M
38,8/1/03,96.32,101.61,101.19,99.17,7.82M
37,7/1/03,96.37,101.74,99.32,97.21,7.44M
36,6/1/03,96.82,101.66,97.65,97.48,15.70M
35,5/1/03,90.43,96.89,96.86,91.82,10.70M
34,4/1/03,84.82,92.59,91.88,85.08,10.34M
33,3/1/03,78.95,89.7,84.69,85.28,12.54M
32,2/1/03,80.89,86.66,84.85,85.81,4.04M
31,1/1/03,84.22,93.64,86.05,89.07,19.47M
30,12/1/02,86.97,95.88,88.23,95.34,17.11M
29,11/1/02,87.47,94.59,93.65,87.98,11.19M
28,10/1/02,76.94,91.2,88.58,82.19,8.07M
27,9/1/02,80.02,93.09,81.78,90.23,7.05M
26,8/1/02,83.49,96.86,91.63,90.98,4.78M
25,7/1/02,77.66,99.41,91.2,99.03,11.21M
24,6/1/02,95.11,107.41,98.88,106.92,4.46M
23,5/1/02,104.79,111.05,106.93,107.88,7.20M
22,4/1/02,106.52,114.86,107.8,114.08,5.14M
21,3/1/02,111.38,117.66,114.33,111.48,4.70M
20,2/1/02,107.66,113.18,110.89,113.02,3.87M
19,1/1/02,108.35,117.8,112.99,114.84,4.70M
18,12/1/01,111.79,117.74,114.17,113.59,5.55M
17,11/1/01,105.71,116.42,113.92,106.4,3.26M
16,10/1/01,103.11,110.96,105.72,103.99,4.82M
15,9/1/01,94.12,115.89,104.26,113.85,5.87M
14,8/1/01,112.77,122.88,114.07,121.85,2.63M
13,7/1/01,116.57,124.07,121.13,122.84,8.97M
12,6/1/01,120.49,129.05,122.52,125.98,8.45M
11,5/1/01,123.37,131.85,125.56,124.91,11.31M
10,4/1/01,109.38,127.16,125.03,115.94,11.26M
9,3/1/01,108.23,127.01,116.56,123.87,9.61M
8,2/1/01,121.81,137.72,123.9,136.64,2.02M
7,1/1/01,127.58,138.25,136.71,131.32,2.67M
6,12/1/00,125.5,139.12,131.18,132.69,2.89M
5,11/1/00,129.76,144.08,132.13,142.51,3.38M
4,10/1/00,130.85,145.5,142.94,144.3,2.92M
3,9/1/00,142.06,153.26,143.51,152.82,2.70M
2,8/1/00,142.74,152.84,152.06,143.09,5.16M
1,7/1/00,141.31,151.7,142.74,145.3,8.46M
0,6/1/00,143.37,148.83,145.29,143.71,3.68M
