,Date,Low,High,Price,Open,Vol.
182,8/1/15,39.72,48.41,43.52,46.98,776.50M
181,7/1/15,43.32,47.4,46.7,44.46,725.46M
180,6/1/15,43.94,47.77,44.15,47.06,664.85M
179,5/1/15,46.02,48.9,46.86,48.58,633.07M
178,4/1/15,40.12,49.54,48.64,40.6,874.54M
177,3/1/15,40.54,44.19,40.65,43.67,824.34M
176,2/1/15,40.23,44.3,43.85,40.59,656.51M
175,1/1/15,40.35,47.91,40.4,46.66,918.97M
174,12/1/14,44.9,49.06,46.45,47.88,626.81M
173,11/1/14,46.73,50.04,47.81,46.89,523.01M
172,10/1/14,42.1,46.97,46.95,46.27,853.30M
171,9/1/14,44.53,47.57,46.36,45.43,860.84M
170,8/1/14,42.21,45.47,45.43,43.21,513.93M
169,7/1/14,41.05,45.71,43.16,41.86,731.66M
168,6/1/14,39.86,42.29,41.7,40.95,555.81M
167,5/1/14,38.51,40.97,40.94,40.24,574.40M
166,4/1/14,38.9,41.66,40.4,41.15,746.15M
165,3/1/14,37.49,41.5,40.99,37.92,778.55M
164,2/1/14,35.69,38.46,38.31,37.74,718.23M
163,1/1/14,34.63,37.89,37.84,37.35,932.09M
162,12/1/13,35.53,38.98,37.41,38.09,826.64M
161,11/1/13,35.39,38.29,38.13,35.67,800.46M
160,10/1/13,32.8,36.29,35.4,33.35,965.36M
159,9/1/13,30.95,33.75,33.28,31.75,1.25B
158,8/1/13,30.84,35.2,33.4,32.06,1.05B
157,7/1/13,31.02,36.43,31.84,34.75,1.11B
156,6/1/13,32.57,35.78,34.54,34.92,945.22M
155,5/1/13,32.32,35.28,34.9,32.93,1.07B
154,4/1/13,28.11,33.11,33.1,28.64,1.47B
153,3/1/13,27.52,28.66,28.6,27.72,845.03M
152,2/1/13,27.1,28.2,27.8,27.67,780.65M
151,1/1/13,26.28,28.23,27.45,27.25,1.15B
150,12/1/12,26.26,27.73,26.71,26.78,947.41M
149,11/1/12,26.34,30.2,26.61,28.84,1.31B
148,10/1/12,27.76,30.25,28.54,29.81,1.11B
